Time,time,t(hr),P,MC_100SCCM_D_Temperature_C,MC_100SCCM_D_Volumetric_Flow_CCM,MC_100SCCM_D_Mass_Flow_SCCM,MC_100SCCM_D_Mass_Flow_Setpoint_SCCM
2025-03-11T14:12:09.231,2025-03-11 14:12:09,0,14.78,22.41,98.53,99.93,100
2025-03-11T14:12:19.252,2025-03-11 14:12:19,0.002777778,14.78,22.43,98.69,100.09,100
2025-03-11T14:12:29.211,2025-03-11 14:12:29,0.005555555,14.77,22.46,98.6,99.99,100
2025-03-11T14:12:39.231,2025-03-11 14:12:39,0.008333333,14.77,22.49,98.21,99.56,100
2025-03-11T14:12:49.221,2025-03-11 14:12:49,0.011111111,14.77,22.52,99.17,100.51,100
2025-03-11T14:12:59.226,2025-03-11 14:12:59,0.013888889,14.77,22.54,99.14,100.46,100
2025-03-11T14:13:09.232,2025-03-11 14:13:09,0.016666667,14.77,22.57,99.15,100.46,100
2025-03-11T14:13:19.254,2025-03-11 14:13:19,0.019444444,14.76,22.6,99.23,100.5,100
2025-03-11T14:13:29.259,2025-03-11 14:13:29,0.022222222,14.77,22.62,98.9,100.19,100
2025-03-11T14:13:39.264,2025-03-11 14:13:39,0.025,14.77,22.65,97.91,99.19,100
2025-03-11T14:13:49.254,2025-03-11 14:13:49,0.027777778,14.77,22.68,98.22,99.51,100
2025-03-11T14:13:59.260,2025-03-11 14:13:59,0.030555556,14.77,22.7,98.98,100.25,100
2025-03-11T14:14:09.267,2025-03-11 14:14:09,0.033333333,14.77,22.73,99.16,100.41,100
2025-03-11T14:14:19.270,2025-03-11 14:14:19,0.036111111,14.77,22.75,98.96,100.21,100
2025-03-11T14:14:29.260,2025-03-11 14:14:29,0.038888889,14.77,22.78,98.1,99.34,100
2025-03-11T14:14:39.266,2025-03-11 14:14:39,0.041666667,14.77,22.81,98.13,99.36,100
2025-03-11T14:14:49.273,2025-03-11 14:14:49,0.044444444,14.77,22.83,99.27,100.49,100
2025-03-11T14:14:59.278,2025-03-11 14:14:59,0.047222222,14.76,22.86,99.4,100.58,100
2025-03-11T14:15:09.267,2025-03-11 14:15:09,0.05,14.77,22.88,99.19,100.4,100
2025-03-11T14:15:19.273,2025-03-11 14:15:19,0.052777778,14.76,22.91,99.41,100.58,100
2025-03-11T14:15:29.262,2025-03-11 14:15:29,0.055555555,14.76,22.93,99.4,100.56,100
2025-03-11T14:15:39.268,2025-03-11 14:15:39,0.058333333,14.77,22.96,98.1,99.27,100
2025-03-11T14:15:49.258,2025-03-11 14:15:49,0.061111111,14.76,22.98,99.24,100.4,100
2025-03-11T14:15:59.263,2025-03-11 14:15:59,0.063888889,14.76,23.01,99.34,100.48,100
2025-03-11T14:16:09.253,2025-03-11 14:16:09,0.066666667,14.76,23.03,99.42,100.54,100
2025-03-11T14:16:19.258,2025-03-11 14:16:19,0.069444444,14.76,23.06,99.45,100.56,100
2025-03-11T14:16:29.248,2025-03-11 14:16:29,0.072222222,14.77,23.08,98.37,99.5,100
2025-03-11T14:16:39.269,2025-03-11 14:16:39,0.075,14.77,23.11,98.47,99.59,100
2025-03-11T14:16:49.258,2025-03-11 14:16:49,0.077777778,14.76,23.13,99.49,100.58,100
2025-03-11T14:16:59.264,2025-03-11 14:16:59,0.080555556,14.77,23.16,98.84,99.94,100
2025-03-11T14:17:09.253,2025-03-11 14:17:09,0.083333333,14.76,23.18,99.49,100.56,100
2025-03-11T14:17:19.258,2025-03-11 14:17:19,0.086111111,14.77,23.21,97.92,99.01,100
2025-03-11T14:17:29.264,2025-03-11 14:17:29,0.088888889,14.76,23.23,99.47,100.52,100
2025-03-11T14:17:39.269,2025-03-11 14:17:39,0.091666667,14.77,23.25,98.26,99.34,100
2025-03-11T14:17:49.275,2025-03-11 14:17:49,0.094444444,14.77,23.28,99.5,100.55,100
2025-03-11T14:17:59.264,2025-03-11 14:17:59,0.097222222,14.77,23.3,99.1,100.17,100
2025-03-11T14:18:09.270,2025-03-11 14:18:09,0.1,14.77,23.33,98.63,99.69,100
2025-03-11T14:18:19.259,2025-03-11 14:18:19,0.102777778,14.77,23.35,98.49,99.53,100
2025-03-11T14:18:29.249,2025-03-11 14:18:29,0.105555555,14.77,23.38,98.98,100,100
2025-03-11T14:18:39.255,2025-03-11 14:18:39,0.108333333,14.77,23.4,98.92,99.95,100
