Time,t,t(hr),P,MC_100SCCM_D_Temperature_C,MC_100SCCM_D_Volumetric_Flow_CCM,MC_100SCCM_D_Mass_Flow_SCCM,MC_100SCCM_D_Mass_Flow_Setpoint_SCCM
2025-03-12T00:35:46.292,2025-03-12 00:35:46,0,14.77,22.18,98.25,99.68,100
2025-03-12T00:35:56.297,2025-03-12 00:35:56,0.002777778,14.76,22.21,98.04,99.42,100
2025-03-12T00:36:06.302,2025-03-12 00:36:06,0.005555556,14.76,22.24,99.22,100.6,100
2025-03-12T00:36:16.308,2025-03-12 00:36:16,0.008333333,14.77,22.27,98.44,99.88,100
2025-03-12T00:36:26.297,2025-03-12 00:36:26,0.011111111,14.76,22.3,98.92,100.28,100
2025-03-12T00:36:36.318,2025-03-12 00:36:36,0.013888889,14.76,22.33,99.17,100.52,100
2025-03-12T00:36:46.326,2025-03-12 00:36:46,0.016666667,14.76,22.36,99.27,100.62,100
2025-03-12T00:36:56.329,2025-03-12 00:36:56,0.019444444,14.76,22.39,99.13,100.46,100
2025-03-12T00:37:06.351,2025-03-12 00:37:06,0.022222222,14.77,22.42,99.13,100.46,100
2025-03-12T00:37:16.340,2025-03-12 00:37:16,0.025,14.76,22.45,98.85,100.16,100
2025-03-12T00:37:26.346,2025-03-12 00:37:26,0.027777778,14.77,22.48,98.12,99.44,100
2025-03-12T00:37:36.335,2025-03-12 00:37:36,0.030555556,14.76,22.51,98.89,100.18,100
2025-03-12T00:37:46.324,2025-03-12 00:37:46,0.033333333,14.76,22.54,99.11,100.39,100
2025-03-12T00:37:56.330,2025-03-12 00:37:56,0.036111111,14.77,22.57,98.14,99.44,100
2025-03-12T00:38:06.335,2025-03-12 00:38:06,0.038888889,14.76,22.6,99.32,100.59,100
2025-03-12T00:38:16.325,2025-03-12 00:38:16,0.041666667,14.76,22.63,99.23,100.46,100
2025-03-12T00:38:26.331,2025-03-12 00:38:26,0.044444445,14.76,22.66,99.15,100.39,100
2025-03-12T00:38:36.336,2025-03-12 00:38:36,0.047222222,14.76,22.69,99.32,100.56,100
2025-03-12T00:38:46.342,2025-03-12 00:38:46,0.05,14.76,22.72,99.07,100.29,100
2025-03-12T00:38:56.380,2025-03-12 00:38:56,0.052777778,14.76,22.75,99.15,100.37,100
2025-03-12T00:39:06.354,2025-03-12 00:39:06,0.055555556,14.76,22.77,99.21,100.42,100
2025-03-12T00:39:16.343,2025-03-12 00:39:16,0.058333333,14.76,22.81,99.08,100.27,100
2025-03-12T00:39:26.348,2025-03-12 00:39:26,0.061111111,14.77,22.83,99.24,100.45,100
2025-03-12T00:39:36.354,2025-03-12 00:39:36,0.063888889,14.77,22.86,99.04,100.26,100
2025-03-12T00:39:46.366,2025-03-12 00:39:46,0.066666667,14.76,22.89,99.28,100.42,100
