Time,t,t(hr),P,Ch8Alicat_MC_100SCCM_D_Temperature_C,Ch8Alicat_MC_100SCCM_D_Volumetric_Flow_CCM,Ch8Alicat_MC_100SCCM_D_Mass_Flow_SCCM,Ch8Alicat_MC_100SCCM_D_Mass_Flow_Setpoint_SCCM
2025-03-12T00:55:05.412,3/12/2025 0:55,0,14.76,23.02,98.92,100,100
2025-03-12T00:55:15.414,3/12/2025 0:55,0.002777778,14.76,23.04,98.92,99.99,100
2025-03-12T00:55:25.432,3/12/2025 0:55,0.005555556,14.76,23.07,98.94,100.01,100
2025-03-12T00:55:35.434,3/12/2025 0:55,0.008333333,14.76,23.09,98.95,100,100
2025-03-12T00:55:45.426,3/12/2025 0:55,0.011111111,14.76,23.12,98.95,99.99,100
2025-03-12T00:55:55.423,3/12/2025 0:55,0.013888889,14.76,23.14,98.96,100,100
2025-03-12T00:56:05.473,3/12/2025 0:56,0.016666667,14.76,23.16,98.96,99.99,100
2025-03-12T00:56:15.428,3/12/2025 0:56,0.019444444,14.76,23.19,98.99,100.02,100
2025-03-12T00:56:25.430,3/12/2025 0:56,0.022222222,14.76,23.21,98.97,99.99,100
2025-03-12T00:56:35.432,3/12/2025 0:56,0.025,14.76,23.23,98.98,99.99,100
2025-03-12T00:56:45.450,3/12/2025 0:56,0.027777778,14.76,23.26,99.02,100,100
2025-03-12T00:56:55.438,3/12/2025 0:56,0.030555556,14.76,23.28,98.99,99.98,100
2025-03-12T00:57:05.473,3/12/2025 0:57,0.033333333,14.76,23.3,99.02,100,100
2025-03-12T00:57:15.440,3/12/2025 0:57,0.036111111,14.75,23.33,99.03,100,100
2025-03-12T00:57:25.458,3/12/2025 0:57,0.038888889,14.76,23.35,99.05,100.02,100
2025-03-12T00:57:35.444,3/12/2025 0:57,0.041666667,14.75,23.37,99.06,100,100
2025-03-12T00:57:45.462,3/12/2025 0:57,0.044444445,14.75,23.39,99.04,100,100
2025-03-12T00:57:55.449,3/12/2025 0:57,0.047222222,14.75,23.42,99.05,100,100
2025-03-12T00:58:05.452,3/12/2025 0:58,0.05,14.75,23.44,99.07,100.01,100
2025-03-12T00:58:15.453,3/12/2025 0:58,0.052777778,14.75,23.46,99.09,100.02,100
2025-03-12T00:58:25.487,3/12/2025 0:58,0.055555556,14.75,23.48,99.08,99.99,100
2025-03-12T00:58:35.457,3/12/2025 0:58,0.058333333,14.75,23.5,99.1,100,100
2025-03-12T00:58:45.491,3/12/2025 0:58,0.061111111,14.75,23.52,99.1,99.99,100
2025-03-12T00:58:55.477,3/12/2025 0:58,0.063888889,14.75,23.55,99.12,100,100
2025-03-12T00:59:05.528,3/12/2025 0:59,0.066666667,14.75,23.57,99.12,99.98,100
2025-03-12T00:59:15.482,3/12/2025 0:59,0.069444444,14.75,23.59,99.11,100,100
2025-03-12T00:59:25.500,3/12/2025 0:59,0.072222222,14.75,23.61,99.13,100,100
2025-03-12T00:59:35.502,3/12/2025 0:59,0.075,14.75,23.63,99.15,100,100
2025-03-12T00:59:45.521,3/12/2025 0:59,0.077777778,14.75,23.64,99.13,100,100
2025-03-12T00:59:55.571,3/12/2025 0:59,0.080555556,14.75,23.66,99.16,100.02,100
2025-03-12T01:00:05.541,3/12/2025 1:00,0.083333333,14.75,23.68,99.14,100,100
2025-03-12T01:00:15.543,3/12/2025 1:00,0.086111111,14.76,23.7,99.15,100,100
2025-03-12T01:00:25.531,3/12/2025 1:00,0.088888889,14.75,23.73,99.18,100.03,100
2025-03-12T01:00:35.531,3/12/2025 1:00,0.091666667,14.75,23.74,99.16,99.99,100
2025-03-12T01:00:45.518,3/12/2025 1:00,0.094444445,14.75,23.76,99.2,99.99,100
2025-03-12T01:00:55.521,3/12/2025 1:00,0.097222222,14.75,23.78,99.2,100,100
2025-03-12T01:01:05.538,3/12/2025 1:01,0.1,14.75,23.8,99.18,99.99,100
2025-03-12T01:01:15.525,3/12/2025 1:01,0.102777778,14.75,23.82,99.22,100.02,100
2025-03-12T01:01:25.526,3/12/2025 1:01,0.105555556,14.75,23.83,99.23,99.99,100
2025-03-12T01:01:35.512,3/12/2025 1:01,0.108333333,14.75,23.85,99.23,100.02,100
2025-03-12T01:01:45.499,3/12/2025 1:01,0.111111111,14.75,23.87,99.23,100,100
2025-03-12T01:01:55.501,3/12/2025 1:01,0.113888889,14.75,23.88,99.22,100.01,100
2025-03-12T01:02:05.503,3/12/2025 1:02,0.116666667,14.75,23.9,99.24,99.99,100
2025-03-12T01:02:15.505,3/12/2025 1:02,0.119444444,14.75,23.92,99.23,99.98,100
2025-03-12T01:02:25.523,3/12/2025 1:02,0.122222222,14.75,23.93,99.27,100,100
2025-03-12T01:02:35.514,3/12/2025 1:02,0.125,14.75,23.95,99.25,100,100
2025-03-12T01:02:45.512,3/12/2025 1:02,0.127777778,14.75,23.97,99.29,100.01,100
2025-03-12T01:02:55.530,3/12/2025 1:02,0.130555556,14.75,23.98,99.26,99.98,100
2025-03-12T01:03:05.516,3/12/2025 1:03,0.133333333,14.75,24,99.27,100.01,100
2025-03-12T01:03:15.534,3/12/2025 1:03,0.136111111,14.75,24.01,99.28,99.98,100
2025-03-12T01:03:25.521,3/12/2025 1:03,0.138888889,14.75,24.03,99.29,100,100
2025-03-12T01:03:35.506,3/12/2025 1:03,0.141666667,14.75,24.05,99.27,100,100
2025-03-12T01:03:45.514,3/12/2025 1:03,0.144444445,14.75,24.06,99.28,99.98,100
2025-03-12T01:03:55.526,3/12/2025 1:03,0.147222222,14.75,24.08,99.28,99.98,100
2025-03-12T01:04:05.545,3/12/2025 1:04,0.15,14.75,24.09,99.3,99.99,100
2025-03-12T01:04:15.531,3/12/2025 1:04,0.152777778,14.75,24.11,99.3,100,100
2025-03-12T01:04:25.517,3/12/2025 1:04,0.155555556,14.75,24.12,99.3,99.99,100
2025-03-12T01:04:35.551,3/12/2025 1:04,0.158333333,14.75,24.14,99.31,100,100
2025-03-12T01:04:45.505,3/12/2025 1:04,0.161111111,14.75,24.15,99.32,100.01,100
2025-03-12T01:04:55.523,3/12/2025 1:04,0.163888889,14.75,24.17,99.33,99.98,100
2025-03-12T01:05:05.509,3/12/2025 1:05,0.166666667,14.75,24.18,99.35,100,100
2025-03-12T01:05:15.495,3/12/2025 1:05,0.169444444,14.75,24.19,99.33,100,100
2025-03-12T01:05:25.485,3/12/2025 1:05,0.172222222,14.75,24.21,99.36,100.01,100
2025-03-12T01:05:35.485,3/12/2025 1:05,0.175,14.75,24.22,99.31,99.99,100
2025-03-12T01:05:45.485,3/12/2025 1:05,0.177777778,14.75,24.23,99.35,100,100
2025-03-12T01:05:55.488,3/12/2025 1:05,0.180555556,14.75,24.25,99.37,100,100
2025-03-12T01:06:05.509,3/12/2025 1:06,0.183333333,14.75,24.26,99.36,99.98,100
2025-03-12T01:06:15.492,3/12/2025 1:06,0.186111111,14.75,24.27,99.39,100.01,100
2025-03-12T01:06:25.542,3/12/2025 1:06,0.188888889,14.75,24.29,99.36,100,100
2025-03-12T01:06:35.512,3/12/2025 1:06,0.191666667,14.75,24.3,99.38,100.01,100
2025-03-12T01:06:45.498,3/12/2025 1:06,0.194444444,14.75,24.31,99.39,100,100
2025-03-12T01:06:55.516,3/12/2025 1:06,0.197222222,14.75,24.32,99.41,100.01,100
2025-03-12T01:07:05.518,3/12/2025 1:07,0.2,14.75,24.33,99.38,99.99,100
2025-03-12T01:07:15.521,3/12/2025 1:07,0.202777778,14.75,24.35,99.42,100.01,100
2025-03-12T01:07:25.523,3/12/2025 1:07,0.205555556,14.75,24.36,99.39,99.98,100
2025-03-12T01:07:35.541,3/12/2025 1:07,0.208333333,14.75,24.37,99.41,99.99,100
2025-03-12T01:07:45.559,3/12/2025 1:07,0.211111111,14.75,24.38,99.44,100.03,100
2025-03-12T01:07:55.529,3/12/2025 1:07,0.213888889,14.75,24.39,99.39,99.97,100
2025-03-12T01:08:05.531,3/12/2025 1:08,0.216666667,14.75,24.41,99.43,100.01,100
2025-03-12T01:08:15.549,3/12/2025 1:08,0.219444444,14.75,24.42,99.41,99.98,100
2025-03-12T01:08:25.567,3/12/2025 1:08,0.222222222,14.75,24.43,99.43,100,100
2025-03-12T01:08:35.584,3/12/2025 1:08,0.225,14.75,24.44,99.39,99.95,100
2025-03-12T01:08:45.562,3/12/2025 1:08,0.227777778,14.75,24.45,99.44,99.99,100
2025-03-12T01:08:55.558,3/12/2025 1:08,0.230555555,14.75,24.46,99.43,100,100
2025-03-12T01:09:05.565,3/12/2025 1:09,0.233333333,14.75,24.48,99.43,99.98,100
2025-03-12T01:09:15.577,3/12/2025 1:09,0.236111111,14.75,24.48,99.44,100.01,100
2025-03-12T01:09:25.595,3/12/2025 1:09,0.238888889,14.75,24.5,99.44,99.99,100
2025-03-12T01:09:35.581,3/12/2025 1:09,0.241666667,14.75,24.51,99.43,100,100
2025-03-12T01:09:45.599,3/12/2025 1:09,0.244444444,14.75,24.52,99.43,100.01,100
2025-03-12T01:09:55.618,3/12/2025 1:09,0.247222222,14.75,24.54,99.45,99.99,100
2025-03-12T01:10:05.587,3/12/2025 1:10,0.25,14.75,24.55,99.47,100.01,100
2025-03-12T01:10:15.589,3/12/2025 1:10,0.252777778,14.75,24.56,99.45,100,100
2025-03-12T01:10:25.591,3/12/2025 1:10,0.255555556,14.75,24.57,99.51,100.03,100
2025-03-12T01:10:35.593,3/12/2025 1:10,0.258333333,14.75,24.58,99.47,100,100
2025-03-12T01:10:45.595,3/12/2025 1:10,0.261111111,14.75,24.6,99.5,100.01,100
2025-03-12T01:10:55.566,3/12/2025 1:10,0.263888889,14.75,24.61,99.46,99.99,100
2025-03-12T01:11:05.600,3/12/2025 1:11,0.266666667,14.75,24.62,99.49,100.01,100
2025-03-12T01:11:15.586,3/12/2025 1:11,0.269444444,14.75,24.64,99.51,100.02,100
2025-03-12T01:11:25.628,3/12/2025 1:11,0.272222222,14.75,24.65,99.45,99.99,100
